yelec (um),stim freq,kBath multiplier,pump multiplier,testAmp,testDur,carryover,xBT,num elec,dist between elecs,page of excel sheet
1000,40,1,1,-178125,500,115.6375,1,2,400.2,FROM MULTI ELECTRODES
1000,40,1,1,-178125,1000,116.05,1,2,400.2,
1000,40,1,1,-178125,2500,140.8375,1,2,400.2,
1000,40,1,1,-178125,5000,165.6875,1,2,400.2,
1000,40,1,1,-193750,500,115.725,1,2,600.3,
1000,40,1,1,-193750,2500,165.7125,1,2,600.3,
1000,40,1,1,-193750,5000,165.8375,1,2,600.3,
1000,40,1,1,-387500,500,140.8875,2,2,600.3,
1000,40,1,1,-387500,2500,190.8125,2,2,600.3,
1000,40,1,1,-387500,5000,215.7125,2,2,600.3,
1000,40,1,1,-217578.13,500,140.65,1,2,800.4,
1000,40,1,1,-217578.13,2500,166.275,1,2,800.4,
1000,40,1,1,-217578.13,5000,190.7875,1,2,800.4,
1000,40,1,1,-295214.84,500,165.8,1,2,1200.6,
1000,40,1,1,-295214.84,2500,240.75,1,2,1200.6,
1000,40,1,1,-295214.84,5000,241.1375,1,2,1200.6,
1000,40,1,1,-590429.68,500,215.6875,2,2,1200.6,
1000,40,1,1,-590429.68,2500,265.95,2,2,1200.6,
1000,40,1,1,-590429.68,5000,290.925,2,2,1200.6,
1000,40,1,1,-335000,500,90.9,1,1,600.3,
1000,40,1,1,-335000,1000,115.775,1,1,600.3,
1000,40,1,1,-335000,1500,116.0625,1,1,600.3,
1000,40,1,1,-335000,2000,140.675,1,1,600.3,
1000,40,1,1,-335000,2500,140.7125,1,1,600.3,
1000,40,1,1,-335000,5000,140.825,1,1,600.3,
1000,40,1,1,-193750,500,115.725,1,2,600.3,
1000,40,1,1,-193750,2500,165.7125,1,2,600.3,
1000,40,1,1,-193750,5000,165.8375,1,2,600.3,
1000,40,1,1,-161328.13,500,140.75,1,3,600.3,
1000,40,1,1,-161328.13,2500,190.8625,1,3,600.3,
1000,40,1,1,-161328.13,5000,215.7375,1,3,600.3,
1000,40,1,1,-161230.47,500,215.7,1,5,600.3,
1000,40,1,1,-161230.47,2500,290.9125,1,5,600.3,
1000,40,1,1,-161230.47,5000,315.925,1,5,600.3,
1000,40,1,1,-335000,500,90.9,1,1,0,From Carryover
1000,40,1,1,-335000,1000,115.775,1,1,0,
1000,40,1,1,-335000,1500,116.0625,1,1,0,
1000,40,1,1,-335000,2000,140.675,1,1,0,
1000,40,1,1,-335000,2500,140.7125,1,1,0,
1000,40,1,1,-502500,500,116.0125,1.5,1,0,
1000,40,1,1,-502500,1000,140.8125,1.5,1,0,
1000,40,1,1,-502500,1500,165.6625,1.5,1,0,
1000,40,1,1,-502500,2000,165.7125,1.5,1,0,
1000,40,1,1,-502500,2500,165.7625,1.5,1,0,
1000,40,1,1,-670000,500,140.675,2,1,0,
1000,40,1,1,-670000,1000,140.9375,2,1,0,
1000,40,1,1,-670000,1500,165.6875,2,1,0,
1000,40,1,1,-670000,2000,165.7375,2,1,0,
1000,40,1,1,-670000,2500,165.7875,2,1,0,
1000,40,1,1,-670000,5000,190.6875,2,1,0,
1000,10,1,1,-335000,500,165.425,1,1,0,
1000,10,1,1,-335000,1000,165.5875,1,1,0,
1000,10,1,1,-335000,1500,265.4125,1,1,0,
1000,10,1,1,-335000,2000,265.45,1,1,0,
1000,10,1,1,-335000,2500,265.5,1,1,0,
1000,10,1,1,-502500,500,165.525,1.5,1,0,
1000,10,1,1,-502500,1000,265.4125,1.5,1,0,
1000,10,1,1,-502500,1500,265.475,1.5,1,0,
1000,10,1,1,-502500,2000,265.5625,1.5,1,0,
1000,10,1,1,-502500,2500,265.725,1.5,1,0,
1000,10,1,1,-670000,500,165.5875,2,1,0,
1000,10,1,1,-670000,1000,265.425,2,1,0,
1000,10,1,1,-670000,1500,265.4625,2,1,0,
1000,10,1,1,-670000,2000,265.525,2,1,0,
1000,10,1,1,-670000,2500,265.6,2,1,0,
1000,40,1,0,-335000,500,140.95,1,1,0,From DC Pump
1000,40,1,0,-335000,1000,215.75,1,1,0,
1000,40,1,0,-335000,1500,240.9625,1,1,0,
1000,40,1,0,-335000,2000,290.85,1,1,0,
1000,40,1,0,-335000,2500,316.0125,1,1,0,
1000,40,1,0,-502500,500,190.7375,1.5,1,0,
1000,40,1,0,-502500,1000,240.8625,1.5,1,0,
1000,40,1,0,-502500,1500,290.8625,1.5,1,0,
1000,40,1,0,-502500,2000,340.8625,1.5,1,0,
1000,40,1,0,-502500,2500,366.2375,1.5,1,0,
1000,40,1,0,-670000,500,190.8125,2,1,0,
1000,40,1,0,-670000,1000,240.9375,2,1,0,
1000,40,1,0,-670000,1500,290.8875,2,1,0,
1000,40,1,0,-670000,2000,340.875,2,1,0,
1000,40,1,0,-670000,2500,390.8625,2,1,0,
1000,40,1,0.5,-335000,500,115.8,1,1,0,
1000,40,1,0.5,-335000,1000,141.0125,1,1,0,
1000,40,1,0.5,-335000,1500,165.825,1,1,0,
1000,40,1,0.5,-335000,2000,190.7375,1,1,0,
1000,40,1,0.5,-335000,2500,190.8375,1,1,0,
1000,40,1,0.5,-502500,500,140.925,1.5,1,0,
1000,40,1,0.5,-502500,1000,190.7125,1.5,1,0,
1000,40,1,0.5,-502500,1500,191,1.5,1,0,
1000,40,1,0.5,-502500,2000,215.825,1.5,1,0,
1000,40,1,0.5,-502500,2500,216.5,1.5,1,0,
1000,40,1,0.5,-670000,500,165.6875,2,1,0,
1000,40,1,0.5,-670000,1000,190.7375,2,1,0,
1000,40,1,0.5,-670000,1500,191.175,2,1,0,
1000,40,1,0.5,-670000,2000,215.8375,2,1,0,
1000,40,1,0.5,-670000,2500,240.7375,2,1,0,
1000,40,1.1,1,-335000,500,366.2875,1,1,0,From DC Kbath
1000,40,1.1,1,-335000,1000,617.0125,1,1,0,
1000,40,1.1,1,-335000,1500,892.3375,1,1,0,
1000,40,1.1,1,-335000,2000,1517.3,1,1,0,
1000,40,1.1,1,-502500,500,416.2375,1.5,1,0,
1000,40,1.1,1,-502500,1000,616.95,1.5,1,0,
1000,40,1.1,1,-502500,1500,842.125,1.5,1,0,
1000,40,1.1,1,-502500,2000,1142.275,1.5,1,0,
1000,40,1.1,1,-670000,500,441.25,2,1,0,
1000,40,1.1,1,-670000,1000,641.95,2,1,0,
1000,40,1.1,1,-670000,1500,867.1625,2,1,0,
1000,40,1.1,1,-670000,2000,1192.3375,2,1,0,
1000,40,1.05,1,-335000,500,165.725,1,1,0,
1000,40,1.05,1,-335000,1000,191.0375,1,1,0,
1000,40,1.05,1,-335000,1500,215.95,1,1,0,
1000,40,1.05,1,-335000,2000,240.8375,1,1,0,
1000,40,1.05,1,-335000,2500,240.975,1,1,0,
1000,40,1.05,1,-502500,500,190.7875,1.5,1,0,
1000,40,1.05,1,-502500,1000,216.325,1.5,1,0,
1000,40,1.05,1,-502500,1500,241.0375,1.5,1,0,
1000,40,1.05,1,-502500,2000,265.8875,1.5,1,0,
1000,40,1.05,1,-502500,2500,266.1875,1.5,1,0,
1000,40,1.05,1,-670000,500,215.7125,2,1,0,
1000,40,1.05,1,-670000,1000,240.975,2,1,0,
1000,40,1.05,1,-670000,1500,265.9625,2,1,0,
1000,40,1.05,1,-670000,2000,290.875,2,1,0,
1000,40,1.05,1,-670000,2500,315.8125,2,1,0,
1000,40,0.9,1,-335000,500,40.825,1,1,0,
1000,40,0.9,1,-335000,1000,65.6375,1,1,0,
1000,40,0.9,1,-335000,1500,65.65,1,1,0,
1000,40,0.9,1,-335000,2000,65.6625,1,1,0,
1000,40,0.9,1,-335000,2500,65.675,1,1,0,
1000,40,0.9,1,-502500,500,65.8,1.5,1,0,
1000,40,0.9,1,-502500,1000,90.6375,1.5,1,0,
1000,40,0.9,1,-502500,1500,90.6625,1.5,1,0,
1000,40,0.9,1,-502500,2000,90.675,1.5,1,0,
1000,40,0.9,1,-502500,2500,90.6875,1.5,1,0,
1000,40,0.9,1,-670000,500,66.275,2,1,0,
